Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
01-APR-2013,15.22,15.85,14.8,14.85,15.22,-0.37,-2.43
02-APR-2013,14.85,15.09,14.1,14.1,14.85,-0.75,-5.05
03-APR-2013,14.1,15.06,13.84,14.87,14.1,0.77,5.46
04-APR-2013,14.87,16.08,14.8,15.85,14.87,0.98,6.59
05-APR-2013,15.85,16.47,15.23,16.16,15.85,0.31,1.96
08-APR-2013,15.67,16.96,15.67,16.77,16.16,0.61,3.77
09-APR-2013,15.82,17.26,15.82,16.82,16.77,0.05,0.30
10-APR-2013,16.82,17.43,16.03,16.49,16.82,-0.33,-1.96
11-APR-2013,16.49,17.59,15.99,16.97,16.49,0.48,2.91
12-APR-2013,16.97,17.26,16.33,16.45,16.97,-0.52,-3.06
15-APR-2013,16.45,17.07,16.24,16.61,16.45,0.16,0.97
16-APR-2013,16.61,16.8,16.04,16.25,16.61,-0.36,-2.17
17-APR-2013,16.25,16.58,15.76,16.36,16.25,0.11,0.68
18-APR-2013,16.36,16.49,15.21,15.36,16.36,-1.00,-6.11
22-APR-2013,15.36,17.25,15.36,16.22,15.36,0.86,5.60
23-APR-2013,16.22,16.45,14.63,15.07,16.22,-1.15,-7.09
25-APR-2013,15.07,15.58,13.87,14.2,15.07,-0.87,-5.77
26-APR-2013,14.6,14.6,13.84,13.88,14.2,-0.32,-2.25
29-APR-2013,13.88,14.72,13.88,14.33,13.88,0.45,3.24
30-APR-2013,14.33,15.64,13.81,15.1,14.33,0.77,5.37
02-MAY-2013,15.1,16.73,15.1,16.28,15.1,1.18,7.81
03-MAY-2013,16.28,16.55,15.43,15.55,16.28,-0.73,-4.48
06-MAY-2013,15.55,16.59,15.53,15.84,15.55,0.29,1.86
07-MAY-2013,15.84,16.53,15.56,16.5,15.84,0.66,4.17
08-MAY-2013,16.5,17.22,16.01,16.76,16.5,0.26,1.58
09-MAY-2013,16.76,17.15,16.53,16.6,16.76,-0.16,-0.95
10-MAY-2013,16.6,17.13,16.4,16.86,16.6,0.26,1.57
11-MAY-2013,16.86,16.89,15.85,16.84,16.86,-0.02,-0.12
13-MAY-2013,16.84,17.79,16.77,17.51,16.84,0.67,3.98
14-MAY-2013,16.53,17.7,16.53,17.17,17.51,-0.34,-1.94
15-MAY-2013,17.17,18.16,16.54,18.13,17.17,0.96,5.59
16-MAY-2013,18.13,18.52,17.46,17.74,18.13,-0.39,-2.15
17-MAY-2013,17.74,17.83,16.76,17.57,17.74,-0.17,-0.96
20-MAY-2013,17.57,17.99,17.3,17.71,17.57,0.14,0.80
21-MAY-2013,16.99,18.22,16.99,17.88,17.71,0.17,0.96
22-MAY-2013,17.88,18.03,16.95,17.72,17.88,-0.16,-0.89
23-MAY-2013,17.72,19.36,16.96,18.73,17.72,1.01,5.70
24-MAY-2013,18.73,18.8,17.61,17.7,18.73,-1.03,-5.50
27-MAY-2013,17.7,18.04,16.68,17.03,17.7,-0.67,-3.79
28-MAY-2013,17.03,17.62,16.63,17.12,17.03,0.09,0.53
29-MAY-2013,16.79,17.87,16.79,17.86,17.12,0.74,4.32
30-MAY-2013,17.86,17.86,15.84,16.04,17.86,-1.82,-10.19
31-MAY-2013,16.04,17.21,15.88,16.99,16.04,0.95,5.92
03-JUN-2013,16.99,17.92,16.99,17.29,16.99,0.30,1.77
04-JUN-2013,17.29,17.55,16.72,17.26,17.29,-0.03,-0.17
05-JUN-2013,16.79,17.5,16.78,16.78,17.26,-0.48,-2.78
06-JUN-2013,16.78,17.52,16.59,17.35,16.78,0.57,3.40
07-JUN-2013,17.35,17.51,16.78,17.35,17.35,0.00,0.00
10-JUN-2013,17.35,18.63,17.04,18.11,17.35,0.76,4.38
11-JUN-2013,17.41,19.59,17.41,19.49,18.11,1.38,7.62
