Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
01-APR-2015,14.4925,14.6825,13.565,13.665,14.4925,-0.83,-5.71
06-APR-2015,13.665,15.0525,13.595,14.5725,13.665,0.91,6.64
07-APR-2015,14.5725,14.895,13.98,14.25,14.5725,-0.32,-2.21
08-APR-2015,14.25,14.695,13.35,14.3475,14.25,0.10,0.68
09-APR-2015,14.3475,14.8925,13.2875,14.4175,14.3475,0.07,0.49
10-APR-2015,14.4175,14.79,13.4275,14.255,14.4175,-0.16,-1.13
13-APR-2015,14.255,14.93,13.055,14.4875,14.255,0.23,1.63
15-APR-2015,14.4875,14.985,13.34,14.62,14.4875,0.13,0.91
16-APR-2015,14.62,15.3,12.9675,14.95,14.62,0.33,2.26
17-APR-2015,14.95,15.1775,13.62,15.04,14.95,0.09,0.60
20-APR-2015,15.04,16.4225,13.6625,16.2975,15.04,1.26,8.36
21-APR-2015,16.2975,17.34,15.2275,17.03,16.2975,0.73,4.49
22-APR-2015,17.03,18.3775,14.69,17.21,17.03,0.18,1.06
23-APR-2015,17.21,19.435,14.965,18.5,17.21,1.29,7.50
24-APR-2015,18.5,19.5925,17.36,19.105,18.5,0.61,3.27
27-APR-2015,19.105,20.0875,16.2175,18.735,19.105,-0.37,-1.94
28-APR-2015,18.735,18.895,16.745,17.41,18.735,-1.32,-7.07
29-APR-2015,17.41,17.885,15.725,17.235,17.41,-0.18,-1.01
30-APR-2015,17.235,18.1225,16.3075,17.225,17.235,-0.01,-0.06
04-MAY-2015,17.225,18.2825,16.96,17.3075,17.225,0.08,0.48
05-MAY-2015,17.3075,18.07,16.2725,17.365,17.3075,0.06,0.33
06-MAY-2015,17.365,20.4625,16.7075,19.67,17.365,2.31,13.27
07-MAY-2015,19.67,20.0325,18.335,19.65,19.67,-0.02,-0.10
08-MAY-2015,19.65,19.65,17.4375,19.11,19.65,-0.54,-2.75
11-MAY-2015,19.11,19.28,16.7675,18.625,19.11,-0.48,-2.54
12-MAY-2015,18.625,21.3275,17.22,20.545,18.625,1.92,10.31
13-MAY-2015,20.545,21.4325,18.0975,20.685,20.545,0.14,0.68
14-MAY-2015,20.685,21.905,19.815,20.7,20.685,0.02,0.07
15-MAY-2015,20.7,20.9825,19.095,19.815,20.7,-0.88,-4.28
18-MAY-2015,19.815,20.47,16.77,17.9025,19.815,-1.91,-9.65
19-MAY-2015,17.9025,18.525,14.865,18.27,17.9025,0.37,2.05
20-MAY-2015,18.27,18.27,15.5725,17.7175,18.27,-0.55,-3.02
21-MAY-2015,17.7175,18.06,16.1425,17.4125,17.7175,-0.30,-1.72
22-MAY-2015,17.4125,17.44,14.195,16.9475,17.4125,-0.46,-2.67
25-MAY-2015,16.9475,17.6975,14.68,16.9325,16.9475,-0.02,-0.09
26-MAY-2015,16.9325,17.8425,15.2875,17.0675,16.9325,0.13,0.80
27-MAY-2015,17.0675,17.9675,16.905,17.2825,17.0675,0.21,1.26
28-MAY-2015,17.2825,17.72,16.5975,17.1325,17.2825,-0.15,-0.87
29-MAY-2015,17.1325,17.71,16.4375,16.6575,17.1325,-0.48,-2.77
01-JUN-2015,16.6575,17.46,16.0575,16.9125,16.6575,0.26,1.53
02-JUN-2015,16.9125,17.1375,16.0325,16.82,16.9125,-0.09,-0.55
03-JUN-2015,16.82,17.9175,15.8575,17.505,16.82,0.68,4.07
04-JUN-2015,16.82,18.67,16.465,18.1225,17.505,0.62,3.53
