,Folder_name,Feature_name,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,Label,Bankruptcy,path,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
58,Alembic Pharmaceuticals Ltd.,2019,1.31,0.66,0.138029643950378,0.34,0.311792690762884,0.0139316425665263,82.35,1.42468430547203,1.24402271954822,1.24402271954822,15.06,0.19365538968339,0.311792690762884,0.0979699819372555,0.825498818491394,0.175131179896981,0.19365538968339,0.0430366340923313,0.0430366340923313,0.0430366340923313,0.138029643950378,0.241227798110125,0.316106303432769,0.268756056670552,0.486836257157049,0.431109362278375,0.431109362278375,0.15683401740135,0.82353556769971,1.28587675494784,2.55795204339186,15.55,23.34,0.030297298646302,0.394203179997572,0.608231297996885,0.333354181689747,1.31959703847554,1.00388245444325,0.797550750451568,0.618815393728062,0.0,0.664907899683153,0.950484282073067,0.311792690762884,42.0185185185181,1.77199174657118,0.172974091579301,0.605940678187665,0.20973569189563,0.409762672700139,0.311792690762884,2.06644163390873,0.649307233768326,0.723233402111906,0.172212329472708,0.548071404394343,0.119316671515491,0.191524192892066,0.668664801090043,0.803016903160452,6.53717313279781,3.938826467,5.27,5.36166639,6.453851345,0,0,AFFLE_2023_MDA.txt.json,0.0,0.0,0.0,4.307102203369141,0.0,0.0,3.656239271163941,0.0,2.587198257446289,0.0,19.241811740890693,20.33586032388664,17.55514170040486,19.42925101214575,19.241811740890693,0.1876518218623482,0.7085020242914981
59,Alembic Pharmaceuticals Ltd.,2020,1.41,0.73,0.0461007079241836,0.54,0.292467574102026,0.0110946963231528,76.9,1.50142796183548,1.2528050246407,1.2430100989254,17.38,0.223300321012514,0.292467574102026,0.118740232157407,0.76985460107129,0.20224443316458,0.223300321012514,0.013482962210972,0.013482962210972,0.013482962210972,0.0461007079241836,0.185485840357717,0.331200687206633,0.278984611891054,0.488519131062911,0.4672852410403,0.4672852410403,0.174231596382725,0.769029761030148,1.28453812964889,2.74121374743092,39.32,25.26,-0.0283238757159998,0.160484386780485,0.709442795158711,0.389493645097086,1.14002051032841,1.02362551700864,0.801716134806246,0.586558112819416,0.0062745882748098,0.728025804978305,0.879993139402341,0.292467574102026,5.62377523314839,1.52763713155553,0.209280698759866,0.758002303704054,0.328163738657556,0.411207806259433,0.292467574102026,1.66989622296594,0.677968714318337,0.625886607184332,0.222896456612703,0.549013462050807,0.174817666938273,0.2592390131223,0.595623004688564,0.746750501404766,5.04194673341395,3.729505735,8.0,6.894875427,3.871436941,0,0,ALEMBICLTD_2019_MDA.txt.json,0.0,0.0,0.0,1.7757543325424194,0.0,0.0,8.046883583068848,0.0,0.0,0.0,25.511967871485943,26.3984437751004,23.216696787148592,25.516385542168678,25.699317269076307,-0.183574297188755,-0.352289156626506
60,Alembic Pharmaceuticals Ltd.,2021,2.01,0.85,0.0826326267712847,0.04,0.190915757685967,0.0098993694220037,80.38,1.50270647684642,1.24879468882025,1.2381959976805,20.67,0.26384539827931,0.190915757685967,0.193330431749684,0.805360874529362,0.107309904039064,0.26384539827931,0.0436444884319225,0.0436444884319225,0.0157758705496215,0.0826326267712847,0.200935302627594,0.351747316599803,0.175139887136345,0.30315617566656,0.244748083911414,0.244748083911414,0.203917734141404,0.803867353904766,1.27646536727376,4.07762813756489,0.0,25.49,0.0049694667773519,0.891212599192453,1.26587812780575,0.319994000359188,3.08583382561616,1.01166613412859,0.778483465444821,0.609760351051873,0.0136357269444156,0.852363664753874,1.5699660781603,0.190915757685967,3.83647798742136,3.04535904166235,0.326633861836936,0.36358622974876,0.0712773116872608,0.384246189435652,0.190915757685967,1.14579237500481,1.16028418628254,0.780050060596464,0.255981385324957,0.252784208313844,0.053832326225447,0.307590698550458,0.601443140387957,0.808957978720349,3.25743032265525,6.623436776,5.98,4.203910403,-5.83105322,0,0,ALEMBICLTD_2020_MDA.txt.json,0.0,0.0,0.0,2.043787956237793,0.0,0.0,7.322400093078613,0.0,0.0,0.0,17.84173387096774,18.66243951612903,16.37944556451613,17.841391129032257,17.84173387096774,-0.0003629032258064,0.163991935483871
61,Alembic Pharmaceuticals Ltd.,2022,1.67,0.73,0.0404478803166854,0.12,0.241016957243931,0.0095829432873079,0.73,1.68720646825038,1.27642304192212,1.27642304192212,9.71,0.125805420624135,0.241016957243931,0.160664866618085,0.752067879523113,0.0579961050430846,0.125805420624135,0.0097486250408942,0.0097486250408942,0.0097486250408942,0.0404478803166854,0.0767534323165807,0.392725658060061,0.231268332203037,0.418789447617467,0.264600121032907,0.264600121032907,0.0870692765967006,0.744982820909207,1.2944771505737,3.2113216780365,52.82,11.79,-0.0070664151275184,0.293108480278483,0.422113216780364,0.138341664216406,2.77928776485945,1.07091605083451,0.773982979571835,0.576054860763012,0.0,0.728848316079532,1.51807120228815,0.241016957243931,1.60126604052705,2.72080509846165,0.278946290662298,0.442828249312602,0.0320684901690488,0.401681823862016,0.241016957243931,1.40676070123922,0.93776397732635,0.910872437635646,0.218472794479851,0.327735921825895,0.0235831637889759,0.104652734083029,0.664998602926412,0.74356760208478,3.58204429063324,5.131407472,7.33,0.1472360633,9.050277908,0,0,ALEMBICLTD_2021_MDA.txt.json,0.0,0.0,0.0,7.443068504333496,0.0,0.0,4.667418956756592,0.0,5.557633399963379,0.0,17.515020080321285,18.25280120481928,16.315763052208837,17.484397590361446,17.515020080321285,-0.0303212851405622,-0.0748192771084337
62,Alembic Pharmaceuticals Ltd.,2023,1.78,0.88,0.0502587160110694,0.15,0.26475416597254,0.0131045127394798,0.78,1.53613091829383,1.26996702565902,1.24646010751297,6.59,0.0861096743206546,0.26475416597254,0.205907327227175,0.914687934166069,-0.15190454856433,0.0861096743206546,0.0133062044403614,0.0133062044403614,0.0133062044403614,0.0502587160110694,-0.0911223030360544,0.340658655533593,0.251447961532178,0.37798801100992,0.293127904212148,0.293127904212148,0.0623533236398218,0.914244771407268,1.30526203979088,2.87584685967023,57.47,9.58,0.0026182913103638,0.399451543843386,0.243217486392209,0.0910954657050613,2.41148005914939,1.04490791199453,0.761392436796741,0.687337351989299,0.0280849279392615,0.87648830432578,1.60565229866031,0.26475416597254,1.03959276018099,2.99954755125913,0.424401529470985,0.399499842979328,0.040139847659405,0.470661493199716,0.26475416597254,1.15881045330652,0.901241959033068,0.90320355779205,0.291293613730331,0.374543241344752,0.0283737382396087,0.0436313056942905,0.852334610526247,0.91993304386986,3.40167623655829,6.699034141,10.05,0.2298150623,7.002951544,0,0,ALEMBICLTD_2022_MDA.txt.json,0.0,0.0,0.0,7.412570476531982,0.0,0.0,3.7225148677825928,0.0,4.516879081726074,0.0,12.444786585365856,12.918302845528457,11.716026422764228,12.44436991869919,12.444786585365856,-0.0004878048780487,0.0668292682926829
64,Amara Raja Batteries Ltd.,2016,1.68,1.47,0.167708226616125,0.02,0.421911200248971,0.15870680044593,88.48,1.31856936416184,1.17159848821698,1.17159848821698,8.05,0.0916740773677189,0.421911200248971,0.286221861060202,0.90075728759639,-0.0508748573602129,0.0916740773677189,0.175922403955876,0.175922403955876,0.0707579791832359,0.167708226616125,-1.25324868564626,0.11206091596265,0.351153221065735,0.542518897287683,0.43327051419482,0.43327051419482,0.0911252117984716,0.884885369480272,1.13783903957314,2.16361028583137,84.03,12.33,-0.0142508800060722,0.101957341527165,0.262985349861694,0.195783821712403,1.30802689598754,0.680091151622943,0.912851412566133,0.507261661883191,0.0,1.47183690195676,1.63439015143957,0.421911200248971,0.800166788283122,2.05716394979947,1.47643255295429,0.466140506891952,0.0200436261573897,0.708133061309173,0.421911200248971,0.30447914464345,0.206556705255609,0.973782397893014,0.505041414341717,0.744466647345058,0.0113593139458487,0.0824301959318776,0.809632075797918,0.851934277191154,2.71708598870397,4.906973441,5.42,7.556488414,7.996253786,0,0,AMARAJABAT_2015_MDA.txt.json,0.0,0.0,0.0,5.156405448913574,0.0,0.0,6.227509021759033,0.0,2.8421502113342285,0.0,15.342439516129032,15.849919354838711,14.075262096774193,15.325655241935484,15.342439516129032,-0.0165725806451612,-0.0246774193548387
65,Amara Raja Batteries Ltd.,2017,1.81,1.58,0.159366606013343,0.01,0.388778939035379,0.150356095517385,77.05,1.46966220282876,1.18562543886046,1.18562543886046,4.87,0.0559233624235128,0.388778939035379,0.314693324125617,0.789339823649792,0.0258124826302625,0.0559233624235128,0.175086953958615,0.175086953958615,0.0619583800035371,0.159366606013343,0.0355878695111451,0.131068813321296,0.326820559031842,0.578844417694854,0.40213574081404,0.40213574081404,0.0568716786956484,0.770576296308772,1.14729411174641,2.34572394073303,0.0,9.48,0.0092114725665214,0.042282722513089,0.195953556884152,0.127424603118705,1.486722513089,0.615244758752131,0.91196806494808,0.394598327452185,0.0,1.5830084048176,1.74934031413612,0.388778939035379,0.877106077888218,1.93220942408376,1.56543778801843,0.506482596047748,0.0223408601090279,0.703472263160997,0.388778939035379,0.279738806968715,0.226431851659301,0.966785340314136,0.526362496654505,0.650279612908678,0.0133568017786611,0.0409892611585071,0.732468144954143,0.7364804964539,2.13428961383038,4.948216341,5.36,6.232711415,8.256305502,0,0,AMARAJABAT_2016_MDA.txt.json,0.0,0.0,0.0,5.946163654327393,0.0,0.0,3.71188235282898,0.0,5.50714111328125,0.0,12.948231707317074,13.48890243902439,11.567489837398371,12.961798780487804,12.948231707317074,0.0137398373983739,0.1970325203252032
66,Amara Raja Batteries Ltd.,2018,2.03,1.82,0.205495237119737,0.01,0.344595727408296,0.15162560750796,80.87,1.5297421294099,1.19705479090861,1.19705479090861,4.3,0.0520619100353319,0.344595727408296,0.354231559998941,0.832378868230871,-0.0477732579173542,0.0520619100353319,0.239228074510046,0.239228074510046,0.0708127807142163,0.205495237119737,-0.293848248545612,0.106510045878816,0.273782946694079,0.51484469756895,0.358678867348469,0.358678867348469,0.0467761433727178,0.808801080060356,1.20839265938933,2.69507323568575,88.76,7.29,0.0088547230696373,0.249507970871875,0.170388200348253,0.0915532684819548,1.7880092501476,0.607604282022886,0.928710722069762,0.385424479603272,0.0,1.82108470756939,1.94833694154694,0.344595727408296,1.07730815750571,2.20050186971068,1.68191721132897,0.430087538891525,0.0219595756683498,0.698827287407237,0.344595727408296,0.201250498206456,0.206878008808767,0.960736075575674,0.552346620069071,0.537321647243357,0.0140831399401731,0.01215320678423,0.785602724858153,0.720697780480389,1.88949780789159,3.328173375,5.33,5.327608862,6.795383419,0,0,AMARAJABAT_2017_MDA.txt.json,0.0,0.0,0.0,7.300849437713623,0.0,0.0,0.0,0.0,6.162661075592041,0.0,15.33326612903226,15.956663306451611,13.477288306451612,15.339022177419354,15.33326612903226,0.0057258064516128,0.1326209677419355
67,Amara Raja Batteries Ltd.,2019,2.44,1.27,0.079589145826639,0.01,0.200749605178281,0.0080282021151586,151.1,0.438112828080465,1.05376464599765,1.05376464599765,7.11,0.0752213147035153,0.200749605178281,0.289521097938029,1.52142714149075,0.747921347064973,0.0752213147035153,0.0160442200324754,0.0160442200324754,0.0159774896011744,0.079589145826639,0.92388498426636,0.165224443541595,0.184772115577107,0.140487943076939,0.25817114131281,0.25817114131281,0.162401850657294,1.51102386725092,1.0574398632651,3.80525423541013,14.66,20.51,0.0002215820961666,0.466234728516533,1.08252540138059,0.292947011130301,2.87339961745903,0.377895148121685,0.763903285361567,0.481891585292612,0.0,1.26612447507506,1.89901435390209,0.200749605178281,0.0600980365172264,5.6197508314235,0.611797884841363,0.169491182436166,0.0774053684513529,0.490270703116311,0.200749605178281,0.815473263675476,1.17607561135056,0.777583443902607,0.390280176549606,0.270614445403953,0.0574215361345285,0.107979514777151,1.35902529083346,1.8705842272616,4.93554855562384,3.938826467,5.27,5.36166639,6.453851345,0,0,AMARAJABAT_2018_MDA.txt.json,0.0,0.0,0.0,4.588390350341797,0.0,0.0,5.883869171142578,0.0,2.641702651977539,0.0,19.241811740890693,20.33586032388664,17.55514170040486,19.42925101214575,19.241811740890693,0.1876518218623482,0.7085020242914981
68,Amara Raja Batteries Ltd.,2020,2.02,0.98,0.0767025089605734,0.01,0.220392368610511,0.0064301418546516,136.77,0.738768441787589,1.06002974958689,1.06002974958689,9.66,0.102816563922713,0.220392368610511,0.224222062235021,1.37873370130389,0.100931925445964,0.102816563922713,0.0453523718102551,0.0453523718102551,0.0169046476281897,0.0767025089605734,0.0713735783027121,0.177844026276727,0.203487720982321,0.171472448957364,0.268996480281577,0.268996480281577,0.168118550515958,1.36772458203343,1.06413432125197,3.50020416496529,41.56,21.87,-0.00258484409471,0.874707268658602,0.926019690576652,0.279188358853284,2.71752076069259,0.450360822656986,0.771418286537077,0.518702503799696,0.0,0.980218683362824,1.65286337717178,0.220392368610511,-0.0061712318684678,4.93121649852426,0.422100412613318,0.196135665584769,0.0664895727038199,0.444614430845532,0.220392368610511,1.01944345344274,1.03715802368313,0.819313205807789,0.306731850376575,0.301492896635305,0.0486041116710663,0.125418761852529,1.21061515078793,1.66614299787421,5.73223332144131,3.729505735,8.0,6.894875427,3.871436941,0,0,AMARAJABAT_2019_MDA.txt.json,0.0,0.0,0.0,5.661205291748047,0.0,0.0,6.056694030761719,0.0,4.422320365905762,0.0,25.511967871485943,26.3984437751004,23.216696787148592,25.516385542168678,25.699317269076307,-0.183574297188755,-0.352289156626506
