path,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
ABGSHIP_2013_MDA.txt.json,2.4417104721069336,2.922600030899048,1.153793454170227,0.0,1.440643310546875,2.0800492763519287,0.0,2.3251965045928955,0.0,3.0264461040496826
ADHUNIK_2015_MDA.txt.json,2.1143293380737305,1.2510743141174316,2.1800270080566406,0.0,3.2038798332214355,2.290067672729492,0.0,3.687206506729126,0.0,3.095257043838501
ADHUNIK_2016_MDA.txt.json,1.065415620803833,0.0878119096159935,2.240891456604004,0.0,2.697061538696289,2.379197120666504,0.0,3.5433785915374756,0.0,2.7815959453582764
ADHUNIK_2017_MDA.txt.json,2.1910338401794434,1.4431850910186768,3.3719558715820312,0.0,4.814504623413086,3.4270851612091064,0.0,4.566730976104736,0.0,3.5018393993377686
ANGIND_2013_MDA.txt.json,2.293163537979126,1.235324740409851,2.344343423843384,0.0,2.6328635215759277,2.863131046295166,0.0,3.713602304458618,0.0,3.8029158115386963
ANGIND_2015_MDA.txt.json,2.348517894744873,2.6149094104766846,1.6253960132598877,0.0,2.463860034942627,2.3447635173797607,0.0,3.144824743270874,0.0,3.4627795219421387
ANGIND_2016_MDA.txt.json,1.111314058303833,0.23229801654815674,2.4638237953186035,0.0,3.810683488845825,2.7674665451049805,0.0,3.7104251384735107,0.0,3.2067267894744873
ANGIND_2017_MDA.txt.json,2.624088764190674,2.541743040084839,2.2473232746124268,0.0,3.4522972106933594,2.882380247116089,0.0,3.439089775085449,0.0,3.776654005050659
ASHAPURMIN_2017_MDA.txt.json,2.2744534015655518,1.9638826847076416,1.7535244226455688,0.0,2.212554931640625,2.2688803672790527,0.0,3.340529441833496,0.0,3.893198251724243
ASHAPURMIN_2018_MDA.txt.json,2.3943562507629395,2.3797380924224854,1.1820454597473145,0.0,2.3651556968688965,2.2607429027557373,0.0,2.6957318782806396,0.0,3.4046854972839355
ASHAPURMIN_2019_MDA.txt.json,2.116666078567505,2.70690655708313,0.34904712438583374,0.0,1.7066289186477661,1.1934826374053955,0.0,1.7675024271011353,0.0,2.649498224258423
BAFNAPH_2017_MDA.txt.json,3.6952717304229736,4.004512786865234,1.5893372297286987,0.0,2.6936542987823486,2.0253636837005615,0.0,3.087430238723755,0.0,3.8377764225006104
BAFNAPH_2018_MDA.txt.json,2.6145336627960205,2.35432767868042,1.5252963304519653,0.0,2.2379775047302246,1.9521751403808594,0.0,2.893782615661621,0.0,3.697483777999878
BAFNAPH_2019_MDA.txt.json,1.78218412399292,1.0055830478668213,2.9234020709991455,0.0,4.57453727722168,2.9891510009765625,0.0,4.355477809906006,0.0,3.559358835220337
BAFNAPH_2020_MDA.txt.json,3.2995128631591797,3.5633559226989746,1.6193904876708984,0.0,3.010312557220459,2.330209255218506,0.0,3.256403684616089,0.0,4.048781394958496
BHUSANSTL_2016_MDA.txt.json,1.5253627300262451,1.1845073699951172,1.8452852964401245,0.0,2.7410945892333984,2.5752112865448,0.0,3.11549973487854,0.0,3.26548171043396
CANDC_2016_MDA.txt.json,1.6273908615112305,1.6535338163375854,0.865337610244751,0.0,1.290147304534912,0.9905655384063721,0.0,2.147017240524292,0.0,2.686354398727417
CANDC_symbol_2017_MDA.txt.json,1.5673060417175293,1.4000190496444702,2.5891833305358887,0.0,4.0763630867004395,2.760287046432495,0.0,3.6649391651153564,0.0,2.944546937942505
EASUNREYRL_2011_MDA.txt.json,1.278799295425415,1.0059891939163208,1.2414852380752563,0.0,2.1094229221343994,2.2624216079711914,0.0,2.6360576152801514,0.0,3.5844099521636963
EASUNREYRL_2012_MDA.txt.json,0.04654364287853241,0.0,2.076892375946045,0.0,3.1848130226135254,2.5503475666046143,0.0,2.928387403488159,0.0,2.5709822177886963
EASUNREYRL_2013_MDA.txt.json,2.269608497619629,2.48034405708313,1.30985426902771,0.0,1.7038486003875732,1.98906672000885,0.0,2.0900256633758545,0.0,3.073742628097534
EASUNREYRL_2014_MDA.txt.json,1.2686512470245361,0.6265542507171631,3.2256991863250732,0.0,4.24879264831543,3.1351377964019775,0.0,4.062581539154053,0.0,2.468221426010132
EASUNREYRL_2015_MDA.txt.json,1.649867296218872,2.6441028118133545,0.0,0.0,0.0,1.8595556020736694,0.0,1.0345476865768433,0.0,3.181349992752075
EASUNREYRL_2016_MDA.txt.json,1.878216028213501,2.306035280227661,0.4544486403465271,0.0,1.1484394073486328,1.683274269104004,0.0,1.875958800315857,0.0,3.1239025592803955
EASUNREYRL_2017_MDA.txt.json,2.7771549224853516,2.9198248386383057,0.6782258152961731,0.0,2.0946805477142334,2.3845598697662354,0.0,2.2619681358337402,0.0,3.3177883625030518
EASUNREYRL_2018_MDA.txt.json,1.9746088981628418,1.5635210275650024,2.08274245262146,0.0,3.1396660804748535,3.0514543056488037,0.0,3.6248886585235596,0.0,4.349092483520508
EDL_2016_MDA.txt.json,1.78955078125,0.5274222493171692,3.119767904281616,0.0,4.304100036621094,3.417968511581421,0.0,4.456680774688721,0.0,4.178318023681641
EDL_2017_MDA.txt.json,3.1795096397399902,3.68644642829895,1.4657433032989502,0.0,1.4640507698059082,2.064568281173706,0.0,2.522650718688965,0.0,3.6405766010284424
EDL_2018_MDA.txt.json,0.8234012722969055,0.22474977374076843,2.2083544731140137,0.0,3.282655715942383,2.3370959758758545,0.0,3.071599245071411,0.0,3.0199506282806396
GALLANT_2016_MDA.txt.json,0.0,0.0,2.0418949127197266,0.0,3.129580497741699,2.4813454151153564,0.0,3.0733211040496826,0.0,2.1034984588623047
