path,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30
ABGSHIP_2013_MDA.txt.json,-1.5042351819427051,-0.4402236302066718,1.0733259608870773,0.3525319099401724,0.5704147787256554,0.9414404427342455,1.9677284723774349,1.227561784712318,-0.6374199809039203,-0.4300823549795373,-1.0087747544997314,-0.6387647589218952,-0.8261316187599274,-0.7658127857327405,0.05287531721440327,-0.2552034331712108,-0.5467181779920918,0.6162613307331753,-1.4283487365377723,0.7313456841148296,-0.580715894867196,-1.3157030357131885,0.7401650483518851,0.4049242425577839,0.6559046436608148,0.611138503855434,-1.6060869370872595,-0.6773363293627815,1.3013957422645424,-0.1751873388175405
ADHUNIK_2015_MDA.txt.json,0.16819831140236574,-1.987167310586498,-0.21686249613420427,0.38754267928666386,-0.9359185540425992,-1.0463805825148815,-1.1432329106753327,0.8927943657187625,0.46151556613454325,-0.5685355186495257,0.10518381630367511,-1.0973253013225124,0.6277087019203046,0.7168972983580684,0.7739869251384912,-1.394265401813837,0.11866637169738119,-0.535035683120875,0.45246833849484963,-0.7356407503338098,-0.08538270001632073,-0.7046990959240893,-0.5197994984973667,0.37563796488773277,-0.39497094359220497,-0.6769878281767577,-0.2120329120541872,0.5424226328888709,0.4593757152470269,-0.19935953200666756
ADHUNIK_2016_MDA.txt.json,0.3748035511118328,-2.001467270092899,0.5911213729839178,0.845535135436019,-0.3743947123453209,-0.625411854099065,-1.0284289034017908,0.7364472014883952,0.747783676484472,-0.5614245089044876,0.8016527162954158,-0.3738538437051535,0.14280114206549155,1.5420063312834085,0.1582149161259896,-0.8718179066088467,1.9850618722420708,-0.5805731566752781,1.6744637861032727,-0.2083578087160558,-0.39643358192133976,-1.3544370605964586,-0.1991384672027726,0.06838730913544602,0.7144573087637087,-1.338286659689805,-0.8839373210883077,0.37542840228288094,0.04839531741426324,0.08846542312316233
ADHUNIK_2017_MDA.txt.json,-0.13383790749421945,-0.9053165182640394,-0.6823860962026527,0.2743177162963293,-1.2007440112000232,-0.8206823395174712,-0.15195241040279683,0.9921567718980421,1.0252686664303716,-0.15130812477209074,-0.18499145678677442,-0.4844860500551604,0.2266006123683602,-0.11216782582413408,0.45047570518564567,-0.15261773798339315,-0.27779193970601407,-0.4843965020472497,-0.07051516578550346,-0.05997489091466742,0.6216751583989795,-1.2851061938812094,-0.5488167768691302,0.8076122199762767,-1.5845959784965462,-0.9572780676490402,0.6360893753811631,0.9727805659257321,0.6225637029025038,-0.8770005413176499
ANGIND_2013_MDA.txt.json,-0.8399371829864727,-0.1967703112172137,0.546649832200666,-1.107514363288178,-0.2655640229605332,1.366529245682729,-2.791094961634098,-1.9943907056185999,0.3033313222892249,-1.3328414433639546,-0.1087631543787718,-1.320225895494163,-0.8854567136140437,1.0435800119239802,0.25799586416184034,-1.7408984598592891,1.5022100157041038,0.5474498239361059,-0.12706388358774753,0.33851079253562383,-0.09368724113794114,-0.10815114156497017,-0.32630722676787616,-0.8098328260312057,-0.10547843158411853,0.5613905115510351,-1.7595917546007795,-1.4989245067722128,0.12159771158557717,-0.8041495137516228
ANGIND_2015_MDA.txt.json,-2.3796611062526924,-1.18474437206493,0.5454473769743565,-1.0222291631691391,-0.0038692168996746594,0.7714160068263672,0.5847117737965088,-1.4416150502798846,-0.5195365566670628,-0.3118497173945397,1.3265025765910443,0.2935122065906968,-0.9097835223476393,0.9508868462509733,0.1479076501895422,0.615688995699304,1.795257633544777,1.613797472192917,-0.5796943008176245,0.38175643985037805,-1.015441432069757,-0.6684511997451271,-1.0194283469138177,-0.4222868513163741,0.015841701293949847,0.0593404891623448,-0.302986306725176,-0.3057865918790352,-0.02504808181985354,-0.03843308445935801
ANGIND_2016_MDA.txt.json,1.6459178480210412,2.200105497206817,-0.034684945648848435,-2.2387558466019812,-1.1390106336726364,0.172439149735249,0.37770297980916484,-1.3783948367471346,0.9652046977806258,0.18171641565080032,-0.6612211956725274,0.8400104357255622,-1.2618350080402283,-0.501487803153986,-1.1444917669146741,0.8057649707686912,0.8189661465991894,0.8871837562993286,-0.23840755450893042,1.3821845578361593,0.05991057220046781,1.6934288329317098,0.7864124911407726,-1.4538054708111474,0.01309663959326911,0.012012406919815888,0.011215958570084502,0.13928335129926825,0.3887351172067906,0.17669513842283607
ANGIND_2017_MDA.txt.json,0.5631074551832472,1.2535053706859016,0.28027412441457805,-1.1660269766383062,-1.2266151015613955,0.19443506327407084,-0.003526566273983165,-0.323582354236241,0.8946534239920699,-0.06956766172215043,0.7601313198994094,-1.7471192935273234,1.84361591360636,0.9541598504796487,2.0027918504918705,-1.3473327833697355,-0.5422124300325912,-2.0547375143063418,0.9117948610275582,-1.6727666620483208,0.7467010416384773,0.629934504299424,0.19535647969808637,-0.5560421611823085,-0.8530641965387677,-0.06422048186096332,0.033867933559194534,-0.4445870774036923,0.4211849529280756,0.270278764148314
ASHAPURMIN_2017_MDA.txt.json,0.9947327946789855,0.6565533724204872,0.1037291769862839,-0.062198358091382966,-0.5778069852927381,1.2540220537596674,1.7161625322276273,-0.6745489923917226,-0.19594327521223878,-0.2252450573830784,-0.08140754332435894,1.7382052214739756,1.5250688861752106,0.12576248020191552,-1.2359240078840918,-0.010675605488453572,-0.2660952593533852,-0.10097677731075072,2.2568538564602845,-1.0161708522351833,0.8670364413157131,0.26332313918349476,-0.5447468688240528,0.4978991235437296,-0.3516001713208876,0.6979421475787596,1.475109035901515,-0.5909468244902787,-0.9269418938262655,0.2934878359044019
ASHAPURMIN_2018_MDA.txt.json,0.4203149483113073,-0.3323705074676638,0.05092224526929282,0.17141099457843417,-1.445375943141368,1.3187748440787754,1.9820402702624014,-0.6870921139850976,-0.1078720140366435,-0.691873006537628,-0.1394565223710284,0.10948764272469595,-0.5697985839151101,-0.16736101547221163,-0.15356405436955453,0.37493065383999963,0.36201660604237257,0.4910143495230974,-0.4305153694244378,0.5744511032952596,0.2989787391503001,0.25733693882463216,-0.7155917587078796,0.06424819960982892,-0.7497796118943689,1.048644803946295,1.3878141415722327,-0.9098915608534031,-0.8003304713167302,-0.4123203507690416
