path,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
ABGSHIP_2013_MDA.txt.json,2.640141725540161,2.191375255584717,2.5363690853118896,0.0,3.7896084785461426,3.2950387001037598,0.0,3.432766914367676,0.0,3.4369096755981445
ADHUNIK_2015_MDA.txt.json,2.6652262210845947,2.0341830253601074,2.357631206512451,0.0,3.691012382507324,3.2639474868774414,0.0,3.4072322845458984,0.0,3.5254037380218506
ADHUNIK_2016_MDA.txt.json,2.715130567550659,2.1081299781799316,2.3331258296966553,0.0,3.9443655014038086,3.097677707672119,0.0,3.3876426219940186,0.0,3.2080023288726807
ADHUNIK_2017_MDA.txt.json,2.6667027473449707,1.9480977058410645,2.485126495361328,0.0,4.035605430603027,2.9224090576171875,0.0,3.4405295848846436,0.0,3.1158790588378906
ANGIND_2013_MDA.txt.json,2.1855580806732178,2.2141478061676025,1.8046441078186035,0.0,3.055370807647705,3.127673625946045,0.0,2.674959659576416,0.0,2.831670045852661
ANGIND_2015_MDA.txt.json,2.730929136276245,1.8540380001068115,2.5489919185638428,0.0,4.209683418273926,3.152418613433838,0.0,3.6984598636627197,0.0,3.3110949993133545
ANGIND_2016_MDA.txt.json,2.4952614307403564,2.9539546966552734,1.3874540328979492,0.0,2.652033805847168,2.2800111770629883,0.0,3.0251808166503906,0.0,3.799285650253296
ANGIND_2017_MDA.txt.json,2.716810464859009,2.089141368865967,2.2034385204315186,0.0,3.8195998668670654,2.975081205368042,0.0,3.479767084121704,0.0,3.5086984634399414
ASHAPURMIN_2017_MDA.txt.json,2.7761764526367188,1.9286956787109375,2.365917682647705,0.0,3.877552032470703,3.145421028137207,0.0,3.239013910293579,0.0,3.197774648666382
ASHAPURMIN_2018_MDA.txt.json,2.850682497024536,2.0365614891052246,2.4602737426757812,0.0,4.156047821044922,3.1209053993225098,0.0,3.592881441116333,0.0,3.319204092025757
ASHAPURMIN_2019_MDA.txt.json,2.6769587993621826,2.1428422927856445,2.325019121170044,0.0,3.672947406768799,3.0683324337005615,0.0,3.5000827312469482,0.0,3.3716084957122803
BAFNAPH_2017_MDA.txt.json,2.2993204593658447,1.7892651557922363,2.4785048961639404,0.0,4.200407028198242,3.477843999862671,0.0,3.8365478515625,0.0,3.379307508468628
BAFNAPH_2018_MDA.txt.json,2.530489921569824,2.0715866088867188,2.4927215576171875,0.0,3.988186836242676,3.0169901847839355,0.0,3.4924042224884033,0.0,3.3919079303741455
BAFNAPH_2019_MDA.txt.json,2.6642167568206787,1.9682044982910156,2.5879898071289062,0.0,4.24459981918335,3.1456260681152344,0.0,3.5998306274414062,0.0,3.2663137912750244
BAFNAPH_2020_MDA.txt.json,2.0806143283843994,1.201995849609375,2.9824814796447754,0.0,4.296459674835205,2.736724853515625,0.0,3.7928946018218994,0.0,2.704237222671509
BHUSANSTL_2016_MDA.txt.json,2.273994207382202,1.4420385360717773,2.7108733654022217,0.0,4.1981940269470215,3.2121496200561523,0.0,3.6369400024414062,0.0,3.3719322681427
CANDC_2016_MDA.txt.json,2.828160524368286,1.4227054119110107,2.5758614540100098,0.0,4.168407440185547,3.5026254653930664,0.0,3.780764579772949,0.0,3.477238655090332
CANDC_symbol_2017_MDA.txt.json,2.284550428390503,0.9252258539199829,2.7777910232543945,0.0,4.052660942077637,3.1171700954437256,0.0,3.8004302978515625,0.0,3.505671262741089
EASUNREYRL_2011_MDA.txt.json,3.024864912033081,3.2116570472717285,1.3275558948516846,0.0,2.841174602508545,2.7149620056152344,0.0,2.931495189666748,0.0,3.3030879497528076
EASUNREYRL_2012_MDA.txt.json,2.2911691665649414,2.507802963256836,1.8546764850616455,0.0,3.17238712310791,2.4472134113311768,0.0,3.6708567142486572,0.0,4.0825581550598145
EASUNREYRL_2013_MDA.txt.json,2.86495041847229,3.1164767742156982,1.694014310836792,0.0,2.8664908409118652,2.272714138031006,0.0,3.4115939140319824,0.0,4.321124076843262
EASUNREYRL_2014_MDA.txt.json,2.600543260574341,2.8040897846221924,1.6106514930725098,0.0,3.5033984184265137,2.034926176071167,0.0,3.424673557281494,0.0,3.332677125930786
EASUNREYRL_2015_MDA.txt.json,2.719209909439087,3.544981002807617,1.6804614067077637,0.0,2.724466323852539,2.399848699569702,0.0,2.642408847808838,0.0,3.023581027984619
EASUNREYRL_2016_MDA.txt.json,2.328439235687256,1.6249141693115234,2.7164626121520996,0.0,4.176370143890381,3.370576858520508,0.0,3.651256799697876,0.0,3.446279764175415
EASUNREYRL_2017_MDA.txt.json,2.7743046283721924,3.1964163780212402,1.7341814041137695,0.0,3.011472702026367,2.6112680435180664,0.0,3.073668956756592,0.0,3.087803363800049
EASUNREYRL_2018_MDA.txt.json,2.867964506149292,2.787381649017334,2.2092747688293457,0.0,3.607553005218506,2.97162127494812,0.0,3.1897668838500977,0.0,2.9014382362365723
EDL_2016_MDA.txt.json,2.750016927719116,2.0899336338043213,2.2716879844665527,0.0,3.7095680236816406,3.2139925956726074,0.0,3.3742737770080566,0.0,3.6466686725616455
EDL_2017_MDA.txt.json,2.9432337284088135,1.782109260559082,2.7139830589294434,0.0,4.279572486877441,3.364434242248535,0.0,3.5569376945495605,0.0,3.262225389480591
EDL_2018_MDA.txt.json,2.7319915294647217,1.9232494831085205,2.2476487159729004,0.0,3.6403398513793945,3.482912540435791,0.0,3.5439388751983643,0.0,3.6833083629608154
GALLANT_2016_MDA.txt.json,2.4015181064605713,2.4124855995178223,1.7879056930541992,0.0,3.1620216369628906,2.6934852600097656,0.0,3.530057191848755,0.0,3.333254098892212
